locale,allcaps,isocode,assource,astarget,ar_AR,bg_BG,cs_CZ,da_DK,de_DE,el_GR,en_US,en_GB,es_ES,et_EE,fi_FI,fr_FR,hu_HU,it_IT,ja_JP,ko_KR,lt_LT,lv_LV,nl_NL,no_NO,pl_PL,pt_PT,pt_BR,ro_RO,ru_RU,sk_SK,sl_SI,sv_SE,id_ID,tr_TR,uk_UA,zh_CN
ar_AR,AR_AR,AR,AR,AR,العربية,арабски,arabština,arabisk,Arabisch,αραβικός,Arabic,Arabic,Arábica,araabia keel,arabialainen,Arabe,arab,Arabo,アラビア語,아라비아 말,Arabiškas,Arābu,Arabisch,Arabisk,Arabski,árabe,árabe,Arabic,арабский,arabčina,arabsko,arabiska,Arabia,Arapça,арабська,阿拉伯
bg_BG,BG_BG,BG,BG,BG,البلغارية,Български,Bulharský,Bulgarsk,Bulgarisch,Βουλγαρική,Bulgarian,Bulgarian,Búlgaro,Bulgaaria,Bulgarian,Bulgare,Bolgár,Bulgaro,ブルガリア語,불가리아 사람,Bulgarų,Bulgāru,Bulgaars,Bulgarsk,Bułgarski,Búlgaro,Búlgaro,Bulgară,Болгарский,Bulharský,Bolgarski,Bulgariska,Bulgaria,Bulgarca,Болгарська,保加利亚人
cs_CZ,CS_CZ,CS,CS,CS,التشيكية,Чешки,Čeština,Tjekkisk,Tschechisch,Τσεχική,Czech,Czech,Checo,Tšehhi,Tšekki,Tchèque,Cseh,Ceco,チェコ語,체코 사람,čekų kalba,Čehu,Tsjechisch,tsjekkisk,czeski,Checo,Tcheco,Cehă,чешский,Český,Češčina,Tjeckiska,Ceko,Çek Cumhuriyeti,чеська,捷克
da_DK,DA_DA,DA,DA,DA,دانماركي,Датски,Dánština,dansk,Dänisch,Δανικά,Danish,Danish,Danés,Taani,tanska,Danois,dán,Danese,デンマーク語,덴마크 말,Danų kalba,Dāņu,Deens,Dansk,duński,Dinamarquês,Dinamarquês,Daneză,датский,Dánsky,danski,Danska,Denmark,Danimarka,датська,丹麦语
de_DE,DE_DE,DE,DE,DE,ألمانية,Немски,Němčina,tysk,Deutsch,Γερμανικά,German,German,Alemán,Saksa,saksa,Allemand,német,Tedesco,ドイツ語,독일 사람,Vokiečių kalba,Vācu,Duits,Tysk,Niemiecki,Alemão,Alemão,Germană,немецкий язык,Nemčina,nemščina,Tyska,Jerman,Alman,Німецький,德国
el_GR,EL_GR,EL,EL,EL,اليونانية,Гръцки,Řečtina,Græsk,Griechisch,Ελληνικά,Greek,Greek,Griego,Kreeka,kreikka,Grec,görög,Greco,ギリシャ語,그리스 어,Graikų kalba,grieķu,Grieks,Gresk,grecki,Grego,Grego,Greacă,греческий,Gréčtina,grščina,Grekiska,Yunani,Yunan,грецька,希腊语
en_GB,EN_GB,EN,EN,EN-GB,إنجليزي,Английски,Angličtina,engelsk,Englisch,Αγγλικά,English,English,Inglés,inglise,Englanti,Anglais,angol,Inglese,英語,영어,Anglų,Angļu,Engels,Engelsk,angielski,Inglês,Inglês,Engleză,английский язык,Angličtina,angleščina,Engelska,Inggris,İngilizce,англійська,英文
en_US,EN_US,EN,EN,EN-US,إنجليزي,Английски,Angličtina,engelsk,Englisch,Αγγλικά,English,English,Inglés,inglise,Englanti,Anglais,angol,Inglese,英語,영어,Anglų,Angļu,Engels,Engelsk,angielski,Inglês,Inglês,Engleză,английский язык,Angličtina,angleščina,Engelska,Inggris,İngilizce,англійська,英文
es_ES,ES_ES,ES,ES,ES,الأسبانية,Испански,Španělština,spansk,Spanisch,Ισπανικά,Spanish,Spanish,Español,Hispaania,Espanja,Espagnol,Spanyol,Spagnolo,スペイン語,스페인의,Ispanų kalba,Spāņu,Spaans,Spansk,hiszpański,Espanhol,Espanhol,Spaniolă,испанский,Španielčina,Španščina,Spanska,Spanyol,İspanyolca,Іспанська,西班牙语
et_EE,ET_EE,ET,ET,ET,الإستونية,Естонски,Estonština,Estisk,Estnisch,Εσθονικά,Estonian,Estonian,Estonio,Eesti keel,Viro,Estonien,Észt,Estone,エストニア語,에스토니아 사람,Estų kalba,Igauņu,Ests,Estisk,estoński,Estónio,Estoniano,Estoniană,эстонский,Estónčina,Estonščina,Estniska,Estonia,Estonca,Естонська,爱沙尼亚语
fi_FI,FI_FI,FI,FI,FI,الفنلندية,Финландски,Finština,finsk,Finnisch,Φινλανδικά,Finnish,Finnish,Finlandés,Soome,suomi,Finnois,finn,Finlandese,フィンランド語,핀란드어,Suomių kalba,Somu,Fins,Finsk,fiński,Finlandês,Finlandês,Finlandeză,финский,Fínsky,finščina,Finska,Finlandia,Fince,фінська,芬兰
